month,num_trips
2018-12,773.0
2019-01,4.882352941176471
2019-02,2.3846153846153846
2019-03,1.6666666666666667
2019-04,2.5
2019-05,251.5
2019-06,15.0
2019-09,10.0
2019-11,3.0
2019-12,1.5
2020-01,997.0
2020-03,12.0
2020-08,2.0
2020-12,2.0
